word,definition,translation
Zend-Avesta,,n. 《亚吠陀》经解合刊\n[网络] 阿维斯陀经；波斯祆教圣典；阿维斯陀经注解
zendo,,"n. 禅宗之沉思室,默念室"
Zeneca,,泽尼卡
zeneck,,肌醇、泛酸钙、维生素B1、维生素B2、重酒石酸胆碱、肝泰乐、牛黄酸、硫酸软骨素、葡萄糖、枸橼酸、去氢醋酸钠、酒精复方制剂
zenel,,一种滋补强壮剂
zenelmin,,维生素A、D2、B1、B2、B6、B12、烟酰胺、叶酸、钙、铁、镁复方制剂
Zener,,[计] 齐纳
zener breakdown,,齐纳击穿\n[计] 齐纳击穿
Zener breakdown theory,,[电] 稽纳雪崩理论
Zener cards,,"[复] 齐纳卡片(带有五种不同符号的二十五张卡片, 用于对超感官感觉的研究)"
zener current,,齐纳电流\n[计] 齐纳电流
zener diode,,"齐纳二极管, 稳压二极管\n[计] 齐纳二极管, 稳压二极管"
zener effect,,齐纳效应\n[电] 稽纳效应
Zener tunneling,,[计] 齐纳隧道效应
zener voltage,,齐纳电压
Zeners,plural of Zener,(Zener 的复数) [计] 齐纳
zeng,,n. 曾（中文姓氏）
zenga,,abbr. Zengakuren (Japanese leftwing students) 日本极端左翼学生运动
Zengakuren,,<日>n.& adj.极端左翼学生运动(的)
Zenger,,曾格(男子名)
zenia,, [人名] 齐尼娅
zenica,, [地名] [波斯尼亚和黑塞哥维那] 泽尼察
zenick,"n. A South African burrowing mammal (Suricata tetradactyla),\n   allied to the civets. It is grayish brown, with yellowish transverse\n   stripes on the back. Called also suricat.", [人名] 泽尼克
zenith,n. the point above the observer that is directly opposite the nadir on the imaginary sphere against which celestial bodies appear to be projected,n. 顶点；最高点；顶峰
zenith distance,,天顶距
zenith telescope,,天顶仪
zenithal,a. relating to or located at or near the zenith,"a. 天顶的, 绝顶的"
zeniths,,"顶点, 极点( zenith的名词复数 )"
Zenker's crystals,,[医] 岑克尔氏晶体(气喘晶体)
Zenker's degeneration,,[医] 岑克尔氏变性(坏死)(横纹肌透明变性)
Zenker's diverticula,,[医] 膀胱憩室
Zenker's diverticulum,,[医] 岑克尔氏憩室(食管的压出性憩室)
Zenker's fixative,,[医] 岑克尔氏固定液
Zenker's fluid,,[医] 岑克尔氏液(溶液)(组织固定液)
Zenker's leiomyoma,,[医] 岑克尔氏平滑肌瘤(恶性肌瘤)
Zenker's myomalacia cordis,,[医] 岑克尔氏心肌软化
Zenker's paralyses,,[医] 岑克尔氏麻痹(腓总神经麻痹)
Zenker's paralysis,,[医] 岑克尔氏麻痹(腓总神经麻痹)
Zenker's soiutions,,[医] 岑克尔氏溶液(组织固定用)
Zenker-formol fixative,,[医] 岑克尔氏福马林固定液
zenkerism,,岑克尔氏变性
zenkerize,,岑克尔氏溶液固定
zenner,, [人名] 曾纳
Zeno,n. ancient Greek philosopher who formulated paradoxes that defended the belief that motion and change are illusory (circa 495-430 BC)\nn. ancient Greek philosopher who founded the Stoic school (circa 335-263 BC),"齐诺(① Zeno of Citium [5zinEu Ev 5siFiEm] 西希昂的齐诺, 前340?-前265?, 希腊哲学家, 斯多葛派的创始人 ②Zeno of Elea 埃利亚的齐诺, 公元前5世纪前后古希腊埃利亚学派哲学家)"
Zeno of Citium,,na. 季蒂昂的芝诺\n[网络] 基提翁的芝诺；芝诺约
Zeno of Elea,,un. 以利亚的季诺(纪元前五世纪之希腊哲学家)\n[网络] 芝诺；古希腊数学家芝诺；埃利亚的芝诺
Zenobia,,"季诺碧亚(①女子名 ②古代叙利亚 Palmya 的女王, 在位期间为267-272)"
zenobius,, [人名] 齐诺比厄斯
zenocentric,,a. [天]木星中心的
zenodiagnosis,,[医]动物接种诊断
zenographic,,a. [天]木星表面的
zenography,,木面学
zenol,,白陶土、二丙醇、樟脑、薄荷油、苯海拉明复方制剂
zenolite,,硅线石
Zenoni's test,,[医] 策诺尼氏试验(检痰内白蛋白)
zenophobia,,"n. 仇外, 惧外者"
Zenopsis,,裸海鲂属
zenotropism,,背地性
Zens,plural of Zen\nn. school of Mahayana Buddhism asserting that enlightenment can come through meditation and intuition rather than faith; China and Japan\nn. a Buddhist doctrine that enlightenment can be attained through direct intuitive insight,(Zen 的复数) n. 禅宗
zenstomin,,一种平喘药
zenta,, [地名] [塞尔维亚] 森塔
zental,,[化] 阿苯达唑; 丙硫咪唑
zenteno,, [地名] [巴拉圭] 森特诺
zentner,, [人名] 曾特纳
zentropil,,二苯基咪唑啉二酮
zeo,,abbr. zeolites 沸石
zeolite,n. any of a family of glassy minerals analogous to feldspar containing hydrated aluminum silicates of calcium or sodium or potassium; formed in cavities in lava flows and in plutonic rocks,n. 沸石\n[化] 沸石
zeolite catalyst,,[机] 沸石催化剂
zeolite process,,[机] 沸石法
zeolite(molecular sieve)catalyst,,[化] 沸石催化剂; 沸石分子筛催化剂
zeolites,plural of zeolite\nn. any of a family of glassy minerals analogous to feldspar containing hydrated aluminum silicates of calcium or sodium or potassium; formed in cavities in lava flows and in plutonic rocks,(zeolite 的复数) n. 沸石\n[化] 沸石
zeolitic,"a. Of or pertaining to a zeolite; consisting of, or\n   resembling, a zeolite.",a. 沸石的
zeolitization,,沸石化作用
zeolitize,,"v. 使化为沸石, 沸石化处理"
Zeolon H,,分子筛(含有H离子)
zeolox,,分析纯级分子筛
zeomorph,,海鲂类
zeopan,,镁铝硅酸盐
zeophyllite,,叶沸石
zeos,plural of zeo,(zeo 的复数) abbr. zeolites 沸石
zeoscope,,[医] 沸点检醇器
zeotrope,,[机] 非共沸混合物
zeotropic system,,[化] 非共沸体系
zeotropy,,[化] 非共沸性
Zep,n a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States,"n. [常作Z-][空]策帕林飞艇,齐柏林飞艇(一种硬式飞艇)"
Zeph,,abbr. Zephaniah
zephania,, [人名] 泽弗奈亚
zephaniah,n. a Hebrew minor prophet of the late 7th century BC\nn. an Old Testament book telling the prophecies of Zephaniah which are concerned mainly with the approaching judgment by God upon the sinners of Judah,n. 希伯来的先知
zepharovichite,,银星石
zephiran,,"[医] 苄烷铵, 苯甲烃铵"
zephiran chloride,,"[化] 苯扎氯胺; 洁而灭\n[医] 氯化苄烷铵, 氯化苯甲烃铵"
Zephiritis,,[法]泽菲里蒂斯薄纱
zephirol,,氯化苄基·二甲基·烷基胺
zephyr,n. (Greek mythology) the Greek god of the west wind,"n. 西风, 和风, 徐风"
zephyranthine,,菖蒲莲碱
zephyrhills,, [地名] [美国] 泽弗希尔斯
zephyrs,plural of zephyr\nn. (Greek mythology) the Greek god of the west wind,"(zephyr 的复数) n. 西风, 和风, 徐风"
zephyrus,"n. The west wind, or zephyr; -- usually personified, and\n   made the most mild and gentle of all the sylvan deities.",西风的拟人格(希腊人认为西风是森林诸神中最温柔者)
zepp,,abbr. zeppelin 齐柏林飞艇，齐柏林铝合金
zeppelin,n. German inventor who designed and built the first rigid motorized dirigible (1838-1917)\nn. a large rigid dirigible designed to carry passengers or bombs,n. 齐柏林飞船
Zeppelin antenna,,[电] 齐柏林天线
zeppelins,n. German inventor who designed and built the first rigid motorized dirigible (1838-1917)\nn. a large rigid dirigible designed to carry passengers or bombs,n. 齐柏林硬式飞艇
Zeppo,,[网络] 泽波；泽波·马克思
zeppole,,n. <美>炸面饼圈
zepto-,,n. 仄普托
zequin,n. See Sequin.,零
zequyx,"(v) To have a crush on\r\nrelated forms:\r\nzequyxed, zequyxicle, zequyxes, zequyxing, zequixable\n> I zequyx you.\n",
zer,,abbr. 玉米赤霉醇（zeranol）
zera,,abbr. Zero-Energy Critical Assemblies Reactor(s) 零功率临界装置反应堆
zeranol,,[化] 折仑诺; 右环十四酮酚
zerbe,, [人名] 泽布
zeresmin,,水杨酸苯海拉明
Zerewitinoff reagent,,[机] 泽列维季诺夫试剂
zerg,,n. 虫族（游戏《星际争霸》中的角色）
zerg rush,"A term used for a swarming attack, and/or winning a battle by throwing bodies and outnumbering an opponent.\r\n\r\nThis term was derived off of a video game called Starcraft which had a tactic where you are able to rush opponents by mass producing zergs and rushing them\n> ""Oh shit those bastards are zerg rushing us.""\n> ""All you pussies can do is Zerg Rush.""\n",
zergal,,铝基合金
zeriara,"a stuck up, self-obsessed asshole, who overcompensates muchly for their obvious insecurity. also see: [skank]\n> this zeriara needs to get the fuck over herself\n",
zeringue,, [人名] 泽林格
zerk,,加油嘴
zerkelite,,钛锆钍矿
Zermatt,,n. 策马特（位于瑞士瓦莱斯州）
zermattite,,叶蛇纹石
Zernike,,"泽尔尼克(Frits, 1888-1966, 荷兰物理学家, 曾获1953年诺贝尔物理学奖)"
zero,n. a mathematical element that when added to another number yields the same number\nn. the point on a scale from which positive or negative numerical quantities can be measured\nn. the sight setting that will cause a projectile to hit the center of the target with no wind blowing\nv. adjust (an instrument or device) to zero value,"n. 零, 零点, 零度, 无, 乌有, 最低点\na. 零的, 没有的\nvt. 调零, 对(炮火等)作协调校正\n[计] 零"
zero (point) adjustment,,[化] 零点调整
zero access,,[计] 立即存取
zero balance,,[经] 零数余额
zero beat,,"零差, 零拍"
zero bias,,[电] 零偏压
zero bit,,[电] 零字节
zero bracket amounts,,"[经] 最低等级额, 起点额, 零级"
zero budgeting,,[经] 零式预算
zero charge potential,,[化] 零电荷电势; 零电荷电位
zero clearance,,[化] 零间隙
zero compression,,[计] 零压缩
zero conditio,,[电] 零状况
zero count,,发射导弹等计算时间的最后时间
zero coupon,," 无息, 无息票"
zero coupon bond,, 无息票债券
zero coupon security,,[网络] 零优惠券安全
zero defect program,,[经] 无缺陷计划
zero defects management,,[经] 无缺点管理
zero deflection,,[化] 无偏差
zero degree,,[化] 零点标志
zero drift,,[化] 零漂移; 零点漂移
zero economic growth,,[法] 经济不发展
zero elimination,,[计] 消零
zero error,,[电] 零误差
zero fatigue,"A condition that potential consumers face when they are lured to products and services that are apparently free, or require zero inconvenient action on their part.\n> I've been suffering from zero fatigue, which has landed me in huge debt: I put in $0 deposit to buy a second house; applied for a premium credit card at 0% interest rate for two years; and needed zero medical check-ups to buy a life insurance policy.\n",
zero fill,,[计] 填零
zero force connector,,[计] 无插拔力接插件
zero G,,"零重量, 无重量, 失重"
zero gravity,,"零重量, 无重量, 失重"
zero guard band recording,,[计] 零保护带记录
zero hour,,"发动进攻的时刻, 关键时刻, 零时"
zero in,, 瞄准具校正
zero in on,, （使）瞄准…，（使）对准…，对…集中火力[注意力]
zero incremental cost,,[经] 无增支成本
zero leakage,,[化] 零泄漏
zero level,,[化] 零水平
zero line,,[化] 零位线; 基准线
zero load,,[化] 零位负荷
zero mark,,[化] 零点标志; 零度
zero modulation,,[计] 零调制; 调零
zero norm,,[法] 最低定额
zero order reaction,,[化] 零级反应
zero output,,[电] 零输出
zero phase-sequence relay,,[电] 零相位
zero point,,"零点, 致死临界温度"
zero position,,零位\n[化] 零位; 起始位置
zero pressure,,[医] 起点压
zero proof,,[计] 零证明; 零检查\n[经] 零数验证
zero rate of duty,,[法] 免税
zero rates of duty,,[经] 免税
zero release,,[化] 不排放; 不排放放射性废物; 零排放; 近零排放
zero release plant,,[化] 不排放废物的工厂
zero salvage value,,[经] 无残值
zero setting,,[化] 调到零点
zero shift,,[化] 零漂移; 零点漂移
zero signal,,[化] 零位信号
zero stability,,[电] 零稳定
zero state,,[电] 零状态
zero suppresion,,[计] 消零
zero suppress,,[计] 零限点
zero suppression,,[计] 零抑制
zero temperature,,[化] 零点; 零度
zero temperature energy,,[化] 零点能
zero tillage,, 免耕法
zero time reference,,[电] 零时间基准/参考点
zero tolerance,,n. 零容忍; [医]不容许残留
zero valence,,[化] 零价
zero values,,[计] 零值
zero vector,, 零矢量; 零向量
zero voltage,,[电] 零电压
zero-access addition,,[计] 立即存取加法
zero-access instruction,,[电] 零存取指令
zero-access storage,,[计] 立即存取存储器
zero-acess storage,,[电] 零接近储藏
zero-address,,[电] 零阶地址
zero-address instruction,,[计] 零地址指令
zero-address instruction format,,[电] 零地址指令格式
zero-adjuster,,[电] 零点调节器
zero-adjustment,,[电] 零值调节法
zero-axis symmetry,,[电] 零轴对称
zero-base,,"a. 从零开始的, 零基的\nvt. 对...采用零基方法"
zero-base budget,,[经] 零基预算
zero-base budgeting,,[经] 零基预算法
zero-base planning and budgeting,,[经] 以零为基数的计划与预算编制法
zero-based,, 从零开始的; 零基础; 零起点
zero-beat,,"[电] 零拍, 零差"
zero-bias tube,,[电] 零偏压管
zero-capacity,,[电] 零点电容
zero-clearance,, 无隙
zero-compensation,,[电] 零补偿
zero-compression,,[电] 零压缩
zero-coupon bond,, 零息国债
zero-coupon security,,[网络] 零息券安全
zero-crossing,, 零交点
zero-crossing detector,,[计] 零交点检测器
zero-crossings,plural of zero-crossing,(zero-crossing 的复数)  零交点
zero-cut crystal,,[电] 零截面晶体
zero-defect,,零缺陷
zero-defects,plural of zero-defect,(zero-defect 的复数) 零缺陷
zero-divisor,,[医] 零因子
zero-drift,,"[电] 零漂浮, 零移"
zero-duty bindings,,[经] 免税待遇的承诺
zero-elimination,,[电] 零消除
zero-emission,,adj. （车辆）零排放的，无污染的
zero-energy,,adj. [核物理学]零功率的，零级(点)能量的
zero-error,,[电] 零误差
zero-field emission,,[电] 零场放射
zero-g,, 零过载，零重力，失重状态
zero-gravity,,[医] 失重[状态]
zero-gravity switch,,[电] 零引力开关
zero-growth,,[经] 经济零点增松
zero-input terminal,,[电] 零输入端
zero-length buffer,,[计] 零长度缓冲器
zero-length record,,[计] 零长度记录
zero-level,,"[计] 零电平, 零级"
zero-level address,,[计] 零级地址
zero-level addressing,,"[计] 零级定址, 零级寻址"
zero-level comma,,[计] 零层逗号
zero-level gete,,[计] 或非门
zero-level symbol,,[计] 零层符号
zero-load,,[电] 无载
zero-method,,[电] 零位法
zero-modulation noise,,[电] 零调制杂音
zero-one distribution,,"[计] ""0-1""分布"
zero-order,, 零阶
zero-order reaction,,[机] 零级反应
zero-output terminal,,[电] 零输出端
zero-page addressing,,[电] 零页定址
zero-phase-shift filter,,[计] 零相位移滤波器
zero-place function,,[计] 零位函词
zero-place predicate,,[计] 零位谓词
zero-point,,[电] 零点
zero-point energy,,[化] 零点能
zero-pole,,[电] 零极
zero-potential,,[电] 零电位
zero-power resistance,,[电] 零功率电阻
zero-rate,,[金融] 零率
zero-rated,, 不加增值税的（货物、服务等）
zero-rates,plural of zero-rate,(zero-rate 的复数) [金融] 零率
zero-rating,,"[经] 免税, 不征税"
zero-reading,,[电] 零读数
zero-set,,[电] 零组
zero-shift,,[电] 零移
zero-sided Lindenmayer system,,[计] 林氏无关系统
Zero-Slot LAN,,[计] 零槽局域网
zero-subcarrier chromaticity,,[电] 零副载体色彩
zero-sum,,a. 得失所系的
zero-sum game,," 零和游戏, 零和竞赛, 零和对策; 零和比赛; 零和博奕"
zero-time reference,,[电] 零时基标
zero-tolerance policy,,[网络] 零容忍政策；零程度容忍之政；零度容忍政策
zero-valent,,[机] 零价的
zero-wait-state computer,,[计] 零等待状态计算机
zero-zero,,"a. 零视度的, 零零条件的"
zero-zero weather,,咫尺莫辨的恶劣天气
zeroaxial,,过坐标原点的; 通过零点
zerobalance,,a. [经]零数余额的(指银行帐户借方和贷方的金额相等的)
zerodone,,[医] 水流冷却器
zeroed,v adjust (an instrument or device) to zero value\nv adjust (as by firing under test conditions) the zero of (a gun), [医]调了零点的
zeroes,n a quantity of no importance\nn a mathematical element that when added to another number yields the same number\nn the point on a scale from which positive or negative numerical quantities can be measured\nn the sight setting that will cause a projectile to hit the center of the target with no wind blowing\nv adjust (an instrument or device) to zero value\nv adjust (as by firing under test conditions) the zero of (a gun),"零号, 零, 零点, 最低点, 零度, 零位, 无, 乌有, 无足轻重的人, 没价值的东西"
zerogel,,[机] 零凝胶
Zerohunt,,搜索零
zeroing,v adjust (an instrument or device) to zero value\nv adjust (as by firing under test conditions) the zero of (a gun),"[计] 调零, 填零, 补零"
zeroing block of storage,,[计] 置零存储块
zeroize,,"[计] 填零, 补零"
zerolite,,(低温膨胀的)聚苯乙烯管状绝缘体
zerolling,,零度以下的辗压
zerology,,零位分析
zeronin A,,山道年、海人酸、牛黄酸、乳糖复合制剂(驱虫药)
zeroradiography,,干放射线照相术
zeros,pl.  of Zero,"n. 零点, 零度\nnum. 零\nn. (Zero)人名；(意)泽罗"
zeros of a network function,,[电] 网络函数的零位
zeroth,s. preceding even the first,[计] 第0个
zeroth argument,,[计] 第0个自变量
zeroth law of thermodynamics,,[化] 热力学第零定律
zeroth level,,[化] 零级
zeroth order,,[计] 零阶
zeroth order reaction,,[化] 零级反应
zerteilung,,[德]破碎作用
zerumbet,,[医] 球姜(根茎)
zervamicin,,泽范霉素
zest,v. add herbs or spices to,"n. 兴趣, 热情, 风味, 热心\nvt. 给...调味"
zested,imp. & p. p. of Zest,v. 滋味( zest的过去分词 ); 风味; 香味; 热情nighty-night
zester,,n. 削皮器
zestful,s. marked by spirited enjoyment,"a. 有滋味的, 有热情的"
zestfully,r. with zest,"adv. 有辛辣味的, 有风趣的, 有风味的, 有滋味的, 兴趣浓的, 热情的, 热心的"
zestfulness,n vigorous and enthusiastic enjoyment,"a. 有辛辣味的, 有风趣的, 有风味的, 有滋味的, 兴趣浓的, 热情的, 热心的"
zestily,,[网络] 热情的
zesting,p. pr. & vb. n. of Zest,v. 滋味( zest的现在分词 ); 风味; 香味; 热情nighty-night
zestless,,"a. 不能引起极大快乐的, 没有兴趣的"
zestocausis,,"[医] 蒸汽灼法(用含有过热蒸汽的管,施行烧灼治疗)"
zestocautery,,"[医] 蒸汽烙管, 蒸汽烙器"
Zestril,,[网络] 捷赐瑞；捷赐瑞锭；赖诺普利
zests,n vigorous and enthusiastic enjoyment\nn a tart spicy quality\nv add herbs or spices to,n. 滋味( zest的名词复数 ); 风味; 香味; 热情nighty-night
zesty,s having an agreeably pungent taste\ns marked by spirited enjoyment,"a. 强烈的兴趣, 热心, 热忱, 热情, 滋味, 风趣, 香味, 风味\nvt. 给...加香味, 给...调味, 给...添风趣, 给...增兴趣"
zet,,abbr. zetetic(s) 调查的，考究的
zeta,n. the 6th letter of the Greek alphabet,n. 希腊语第六个字母
Zeta Phi Beta,"Zeta Phi Beta Sorority, Inc. was founded January 16, 1920 on the campus of Howard University in Washington, D.C. by five coeds. These women dared to depart from the traditional coalitions for Black women and sought to establish a new organization predicated on the precepts of Scholarship, Service, Sisterhood and Finer Womanhood. The trail blazed by the founders has been traversed by thousands of women dedicated to the emulation of the objectives and ideals of the Sorority.\r\n\r\nThe Sorority was the, first Greek-letter organization to charter a chapter in Africa (1948); to form adult and youth auxiliary groups, the Amicae, Archonettes, Amicettes, and Pearlettes; and to be constitutionally bound to a brother group, Phi Beta Sigma Fraternity, Incorporated.\r\n\r\nZeta's national and local programs include endowment of its National Educational Foundation; community outreach services; and support of multiple affiliate organizations. Zeta Phi Beta Sorority, Inc. was founded on the campus of Howard University on January 16, 1920 by five illustrious women. These five women, our five pearls, were trailblazers; transcending the bounds of finer womanhood. Arizona Cleaver Stemmons, Myrtle Tyler Faithful, Pearl Anna Neal, Fannie Pettie Watts and Viola Tyler Goings were the foundation of a sisterhood that now spans the globe encompassing more than 100,000 members. Assisting our founders in establishing a well rounded, self sustaining, and innovative organization were two Brothers of Phi Beta Sigma Fraternity, Inc.: A. Langston Taylor and Charles Robert Taylor. \r\n\r\nZeta Phi Beta Sorority, Inc. was founded on the ideals of scholarship, sisterly love, community service and finer womanhood. With these ideals under our wings, Zeta has set a tradition of ""firsts"". Zeta Phi Beta Sorority, Inc. was the first Greek letter organization to charter a chapter in Africa, form auxiliary groups, and establish a national headquarters. Zeta Phi Beta Sorority, Inc. is the first and only Black Greek letter organization to be constitutionally bound to a fraternity, Phi Beta Sigma Fraternity, Inc. \r\n\r\nAs an international service organization, Zeta Phi Beta Sorority, Inc. has over 100,000 members in more than 50 chapters including: West Africa, West Germany, Bahamas Islands, Virgin Islands, South Korea, and Italy. Our auxiliary groups consists of the Amicae,Archonettes, Amicettes, Pearlettes, Stork's Nest Charity Fund and the Zeta Male Network. \r\n\n> Z-E-T-A\n> P-H-I\n> Zeta Phi Beta 'til the day that I die\n> There'll be no Skee, no Wee, no DST\n> I'm just a devestating lady of Z Phi B\n",
zeta potential,,[化] 电动电势; ζ电势
zetar,,煤焦油
zetas,,"希腊字母第6字, 小室( zeta的名词复数 )"
zetec,,[商]混合聚合物纤维
zetetic,a. Seeking; proceeding by inquiry.\nn. A seeker; -- a name adopted by some of the Pyrrhonists.,"a. 调查的, 考究的"
zetetics,a. A branch of algebra which relates to the direct search\n   for unknown quantities.,a. 调查的；考究的\nn. 探求者
Zetland,n. an archipelago of about 100 islands in the North Atlantic off the north coast of Scotland,泽特兰（人名）
zetlax,,双醋苯啶复方制剂(泻药)
zetlin,, [人名] 泽特林
Zetonia,,泽托尼阿铅锑锡合金(德国轴承合金)
zets,,"打, 击, 拍打, 拳击"
zetta,"One of the most awesome adjectives the universe has ever known, or will ever know. Usually used as a substitute for ""very,"" ""hella,"" or ""uber."" Most widely known from the video game character Sho Minamimoto saying ""So zetta slow!"" in the popular Square Enix game The World Ends With You.\r\nWarning: if used too much, ""zetta"" can become permanently etched in to your everyday vocabulary, potentially causing embarrassment to yourself and/or others around you.\n> ""So zetta slow!"" Sho Minamimoto, The World Ends With You\n",
zetta-,,n. 【女名】女子名
zettabit,,[网络] 十垓位元
zettabyte,n. a unit of information equal to 1000 exabytes or 10^21 bytes\nn. a unit of information equal to 1024 exbibytes or 2^70 bytes, 泽字节
zettle,, [人名] 泽特尔
zetz,,"n. 一拳,一击"
Zeugenberg,,"[德]老围层, 外露层"
zeugite,,"并核细胞, 偶核细胞"
zeugites,plural of zeugite,"(zeugite 的复数) 并核细胞, 偶核细胞"
zeuglodon,"n. A genus of extinct Eocene whales, remains of which have\n   been found in the Gulf States. The species had very long and slender\n   bodies and broad serrated teeth. See Phocodontia.",(=zeuglodont)械齿鲸
zeugma,n. use of a word to govern two or more words though appropriate to only one,n. 轭式搭配法
zeugmatic,a. Of or pertaining to zeugma; characterized by zeugma.,a. 轭式搭配法的
zeugmatography,,n. [医](应用核磁共振原理取得的)软组织结构的映像
zeugogeosyncline,,配合准地槽
zeugopodium,,肢杆
Zeune's law,,[医] 索伊内氏定律(关于盲人与气温条件的关系)
zeuner,, [人名] 佐伊纳
zeunerite,,翠砷铜铀矿
Zeus,n. (Greek mythology) the supreme god of ancient Greek mythology; son of Rhea and Cronus whom he dethroned; husband and brother of Hera; brother of Poseidon and Hades; father of many gods; counterpart of Roman Jupiter\nn. type genus of the family Zeidae,n. 宙斯
Zeus faber,,[网络] 海鲂；日本的鲷；远东海鲂
Zeuxis,,宙克西斯(古希腊画家)
zev,,abbr. zero-emission vehicle 无污染车辆，零排放汽车
zevin,, [人名] 泽文
zevon,, [人名] 泽冯
zew,,abbr. zero energy waste 零能源消耗
Zewail,,n. (Zewail)人名；(英)泽韦尔
Zexon,,高密度聚乙烯合成纸
zey,,abbr. they 他们（代号）
zeylanite,n. See Ceylanite.,铁镁尖晶石
zeynep,,n. (Zeynep)人名；(土)泽伊内普
zeyringite,,镍石灰华
zeyssatite,,硅藻石
zezima,Other than being known as the most popular player in runescape. His name has become a slang term to address someone particularly addicted to something. Usually online gaming.\n> 1) Dude...quit before you become a zezima.\n> 2) What are you trying to do? Become zezima?\n> 3) Look a zezima.\n,
zf,,abbr. 零频率（Zero Frequency）
zg,,abbr. 动物园（zoological garden）；零重量（zero gravity）
zh,,abbr. 深圳航空公司；溶剂型氯化天然橡胶胶粘剂
zha,,n. 查（姓）
zhai,,翟（汉语拼音）
zhan,,n. （汉）詹
zhang,,"n. 张, 章（中国姓氏）"
Zhangjiakou,,张家口市
Zhangzhou,,漳州
Zhanjiang,,湛江[广东省](旧译Tsankiang)
zhanna,,n. (Zhanna)人名；(俄)然娜
zhao,,n. 赵（姓氏）
Zhdanov,,日丹诺夫[苏联乌克兰东南部港市](1991年恢复使用旧称马里乌波尔)
Zhdanovism,,"n. 日丹诺夫主义( 西方用语, 指对文艺的严格控制)"
zhe,,pron. （汉语）这
Zhejiang,,浙江(位于中国东部沿海)
zhemchuzhnikovite,,草酸铝钠石
zhen,,n. 甄（姓氏）
zheng,,n. （中文）郑（姓氏）
Zhengzhou,,郑州
Zhenjiang,,n. 镇江市（江苏省城市）
zhentarim,, 散塔林会
zhi,,只（汉语拼音）
zhiguli,, [地名] [俄罗斯] 日古利
Zhitomir,,日托米尔[苏联乌克兰中西部城市]
Zhivago,,n. (Zhivago)人名；(俄)日瓦戈
zho,,n. [动]犏牛( 普通牛和牦牛的杂交种)
zhong,,n. 中（汉语拼音）
zhongshan,, [地名] [南极洲] 中山站
zhongshu,, [医]中枢
zhou,n. the imperial dynasty of China from 1122 to 221 BC; notable for the rise of Confucianism and Taoism,n. 周（中国姓氏）；周朝（中国古代王朝）
Zhou dynasty,,[网络] 周朝；周代；周王朝
Zhou En-lai,,[网络] 飞阁不飞
zhoukoudian,, [地名] [中国] 周口店
zhr,,abbr. zenith hourly rate 天顶每时出现率; zirconium hydride reactor 氢化锆反应堆
zhu,,n. 朱（姓氏）
Zhu Jiang,,[网络] 朱江
zhuan,,n. 转；专（汉语拼音）
zhuang,n. a branch of the Tai languages,n. 壮族；壮语
zhuangbility,, 装逼的中式英语写法。为网络词汇
Zhuhai,,珠海[广东省]
Zhujiang,,珠江(中国南方西江、北江、东江的总称)
Zhukov,,un. 朱可夫；茹科夫\n[网络] 朱可夫元帅；朱可夫号；茹可夫
zhuravskaya,, [地名] [俄罗斯] 茹拉夫斯卡亚
zhuzh,"A word Claire totally made up. She likes to make up words. She claims that is means to ruffle a shirt or outfit, but that makes no sense and doesn't need its own word. She's a mess and needs to use real words like a normal person.\n> ""I swear Zhuzh is a word! And so is Schnibbles!""\n",
Zhuzhou,,n. 株洲（中国地名）
zi,,"abbr. 美国本土, 后方地带（等于zone of interior）"
Zia,,n. 齐娅（女子名）
Ziam,"The undeniable bromance of Liam Payne and Zayn Malik.\n> Fan 1: Have you watched the interview where Zayn admits that he and Liam accidentally kissed?\n> Fan2: C'mon, we all know it's not an accident! OMG Ziam is real! *fangirl squeaks*\n",
ziani,, [地名] [肯尼亚] 济亚尼
ziarat,,"n. 伊斯兰教的圣者墓,圣者祠,圣墓的朝觐者"
ziavetine,,盐酸丁二胍(口服降血糖药)
ZiB,,[网络] Zuse Institute Berlin; 淄博(Zibo); 笁
ziba,, [地名] [坦桑尼亚、突尼斯、乌干达] 济巴
zibart,, [人名] 齐巴特
zibeline,,"a. 黑貂的, 黑貂皮做的\nn. 黑貂皮, 黑貂绒, 充黑貂皮的薄毛织品"
zibelline,,n. 紫貂皮\na. 紫貂的
ziberline,,有光长绒呢
zibet,n. Alt. of Zibeth,"n. 大灵猫, 九节狸\n[化] 香猫香; 麝猫香"
zibeth,"n. A carnivorous mammal (Viverra zibetha) closely allied to\n   the civet, from which it differs in having the spots on the body less\n   distinct, the throat whiter, and the black rings on the tail more\n   numerous.","[医] 香猫, 灵猫香"
zick,, [人名] 齐克
zicral,,兹克铝合金
zid,,abbr. zero insert/delete 零插入/删除; Zionist Immigration Depot 拥护犹太人复国运动者移民营
zidane,,n. 齐达内（法国著名足球运动员）
zidek,, [人名] 齐德克
zidovudine,n. an antiviral drug (trade name Retrovir) used in the treatment of AIDS; adverse side effects include liver damage and suppression of the bone marrow, 叠氮脱氧胸苷
ziedonis,, [人名] 齐多尼斯
zieg,, [人名] 齐格
ziega,"n. Curd produced from milk by adding acetic acid, after rennet\n   has ceased to cause coagulation.",凝乳
ziegelite,,瓦铜矿
zieger,,乳清干酪
ziegfeld,n. United States theatrical producer noted for a series of extravagant revues known as the Ziegfeld Follies (1869-1932),齐格菲尔德（人名）
